record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],
"854779132","626447357","159508030","512.8","56.39999999999998","3.126","300","128","93","17","0.0","56.39999999999998","3.126","0","0","0","0.0",
"854779133","626447680","159508166","515.91","56.39999999999998","3.116","300","128","93","17","0.0","56.39999999999998","3.116","0","0","0","0.0",
"854779134","626448011","159508326","519.12","56.39999999999998","3.116","300","127","93","17","0.0","56.39999999999998","3.116","0","0","0","0.0",
"854779135","626448327","159508477","522.19","56.39999999999998","3.116","300","127","93","17","0.0","56.39999999999998","3.116","0","0","0","0.0",
"854779136","626448674","159508640","525.56","56.39999999999998","3.116","300","126","93","17","0.0","56.39999999999998","3.116","0","0","0","0.0",
"854779137","626448992","159508826","528.71","56.39999999999998","3.126","300","126","93","17","0.0","56.39999999999998","3.126","0","0","0","0.0",
"854779138","626449302","159509042","531.85","56.39999999999998","3.126","300","126","93","17","0.0","56.39999999999998","3.126","0","0","0","0.0",
"854779139","626449602","159509301","535.02","56.200000000000045","3.126","300","125","93","17","0.0","56.200000000000045","3.126","0","0","0","0.0",
"854779140","626449874","159509616","538.12","56.200000000000045","3.126","300","125","93","17","0.0","56.200000000000045","3.126","0","0","0","0.0",
"854779141","626450116","159509979","541.18","56.200000000000045","3.126","300","125","93","17","0.0","56.200000000000045","3.126","0","0","0","0.0",
"854779142","626450358","159510358","544.3","56.39999999999998","3.126","300","125","93","17","0.0","56.39999999999998","3.126","0","0","0","0.0",
"854779143","626450591","159510746","547.4","56.39999999999998","3.126","300","125","93","17","0.0","56.39999999999998","3.126","0","0","0","0.0",
"854779144","626450781","159511141","550.26","56.39999999999998","3.126","300","126","92","17","0.0","56.39999999999998","3.126","0","0","0","0.0",
"854779145","626450953","159511555","553.11","56.39999999999998","3.116","300","126","92","17","0.0","56.39999999999998","3.116","0","0","0","0.0",
"854779146","626451152","159511952","556.03","56.39999999999998","3.107","300","126","92","17","0.0","56.39999999999998","3.107","0","0","0","0.0",
"854779147","626451333","159512300","558.63","56.39999999999998","3.098","300","126","91","17","0.0","56.39999999999998","3.098","0","0","0","0.0",
"854779148","626451494","159512624","561.01","56.200000000000045","3.088","300","125","91","17","0.0","56.200000000000045","3.088","0","0","0","0.0",
"854779149","626451654","159512969","563.47","56.0","3.079","300","125","91","17","0.0","56.0","3.079","0","0","0","0.0",
"854779150","626451813","159513337","566.04","55.799999999999955","3.06","300","125","91","17","0.0","55.799999999999955","3.06","0","0","0","0.0",
"854779151","626451966","159513703","568.57","55.60000000000002","3.051","300","124","92","17","0.0","55.60000000000002","3.051","0","0","0","0.0",
"854779152","626452084","159514085","571.0","55.60000000000002","3.042","300","124","92","17","0.0","55.60000000000002","3.042","0","0","0","0.0",
"854779153","626452229","159514503","573.74","55.60000000000002","3.032","300","123","92","17","0.0","55.60000000000002","3.032","0","0","0","0.0",
"854779154","626452378","159514933","576.54","55.60000000000002","3.023","300","123","92","17","0.0","55.60000000000002","3.023","0","0","0","0.0",
"854779155","626452567","159515365","579.56","55.60000000000002","3.004","300","123","92","17","0.0","55.60000000000002","3.004","0","0","0","0.0",
"854779156","626452757","159515780","582.52","55.60000000000002","3.004","300","123","92","17","0.0","55.60000000000002","3.004","0","0","0","0.0",
"854779157","626452967","159516194","585.59","55.60000000000002","2.995","300","123","91","16","0.0","55.60000000000002","2.995","0","0","0","0.0",
"854779158","626453175","159516598","588.59","55.60000000000002","2.995","300","123","91","16","0.0","55.60000000000002","2.995","0","0","0","0.0",
"854779159","626453395","159517009","591.7","55.60000000000002","2.986","300","124","91","16","0.0","55.60000000000002","2.986","0","0","0","0.0",
"854779160","626453619","159517409","594.79","55.60000000000002","2.986","300","124","91","16","0.0","55.60000000000002","2.986","0","0","0","0.0",
"854779161","626453836","159517831","597.93","55.60000000000002","2.986","300","125","91","16","0.0","55.60000000000002","2.986","0","0","0","0.0",
