"","Dates","Value","Type","Unit","Measure"
"270",2017-04-14 04:41:38,76462,"FatFree",-3,76.462
"271",2017-04-14 04:41:38,9717,"FatRatio",-3,9.717
"272",2017-04-14 04:41:38,8230,"FatMass",-3,8.23
"273",2017-04-13 06:08:41,84923,"Weight",-3,84.923
"274",2017-04-13 06:08:41,76824,"FatFree",-3,76.824
"275",2017-04-13 06:08:41,9537,"FatRatio",-3,9.537
"276",2017-04-13 06:08:41,8099,"FatMass",-3,8.099
"277",2017-04-12 05:59:27,84275,"Weight",-3,84.275
"278",2017-04-12 05:59:27,76303,"FatFree",-3,76.303
"279",2017-04-12 05:59:27,9460,"FatRatio",-3,9.46
"280",2017-04-12 05:59:27,7972,"FatMass",-3,7.972
"281",2017-04-11 06:04:51,84501,"Weight",-3,84.501
"282",2017-04-11 06:04:51,76465,"FatFree",-3,76.465
"283",2017-04-11 06:04:51,9510,"FatRatio",-3,9.51
"284",2017-04-11 06:04:51,8036,"FatMass",-3,8.036
"285",2017-04-10 06:13:37,85185,"Weight",-3,85.185
"286",2017-04-10 06:13:37,77403,"FatFree",-3,77.403
"287",2017-04-10 06:13:37,9136,"FatRatio",-3,9.136
"288",2017-04-10 06:13:37,7782,"FatMass",-3,7.782
"289",2017-04-09 07:08:44,84423,"Weight",-3,84.423
"290",2017-04-09 07:08:44,76377,"FatFree",-3,76.377
"291",2017-04-09 07:08:44,9531,"FatRatio",-3,9.531
"292",2017-04-09 07:08:44,8046,"FatMass",-3,8.046
"293",2017-04-08 05:53:13,83873,"Weight",-3,83.873
"294",2017-04-08 05:53:13,75430,"FatFree",-3,75.43
"295",2017-04-08 05:53:13,10067,"FatRatio",-3,10.067
"296",2017-04-08 05:53:13,8443,"FatMass",-3,8.443
"297",2017-04-07 05:58:23,83970,"Weight",-3,83.97
"298",2017-04-07 05:58:23,75957,"FatFree",-3,75.957
"299",2017-04-07 05:58:23,9542,"FatRatio",-3,9.542
"300",2017-04-07 05:58:23,8013,"FatMass",-3,8.013
"301",2017-04-06 06:14:59,84692,"Weight",-3,84.692
"302",2017-04-06 06:14:59,77345,"FatFree",-3,77.345
"303",2017-04-06 06:14:59,8674,"FatRatio",-3,8.674
"304",2017-04-06 06:14:59,7347,"FatMass",-3,7.347
"305",2017-04-05 06:15:31,84285,"Weight",-3,84.285
"306",2017-04-05 06:15:31,76938,"FatFree",-3,76.938
"307",2017-04-05 06:15:31,8716,"FatRatio",-3,8.716
"308",2017-04-05 06:15:31,7347,"FatMass",-3,7.347
"309",2017-04-04 05:52:03,85061,"Weight",-3,85.061
"310",2017-04-04 05:52:03,77637,"FatFree",-3,77.637
"311",2017-04-04 05:52:03,8728,"FatRatio",-3,8.728
"312",2017-04-04 05:52:03,7424,"FatMass",-3,7.424
"313",2017-04-04 05:51:09,82810,"Weight",-3,82.81
"314",2017-04-04 05:51:09,76068,"FatFree",-3,76.068
"315",2017-04-04 05:51:09,8141,"FatRatio",-3,8.141
"316",2017-04-04 05:51:09,6742,"FatMass",-3,6.742
"317",2017-04-03 05:49:47,83737,"Weight",-3,83.737
"318",2017-04-03 05:49:47,75411,"FatFree",-3,75.411
"319",2017-04-03 05:49:47,9943,"FatRatio",-3,9.943
"320",2017-04-03 05:49:47,8326,"FatMass",-3,8.326
"321",2017-04-02 06:00:29,84434,"Weight",-3,84.434
"322",2017-04-02 06:00:29,76626,"FatFree",-3,76.626
"323",2017-04-02 06:00:29,9247,"FatRatio",-3,9.247
"324",2017-04-02 06:00:29,7808,"FatMass",-3,7.808
"325",2017-04-01 05:47:08,84876,"Weight",-3,84.876
"326",2017-04-01 05:47:08,77688,"FatFree",-3,77.688
"327",2017-04-01 05:47:08,8469,"FatRatio",-3,8.469
"328",2017-04-01 05:47:08,7188,"FatMass",-3,7.188
"329",2017-03-31 05:53:33,84703,"Weight",-3,84.703
"330",2017-03-31 05:53:33,77008,"FatFree",-3,77.008
"331",2017-03-31 05:53:33,9085,"FatRatio",-3,9.085
"332",2017-03-31 05:53:33,7695,"FatMass",-3,7.695
"333",2017-03-30 06:18:23,84400,"Weight",-3,84.4
"334",2017-03-30 06:18:23,76998,"FatFree",-3,76.998
"335",2017-03-30 06:18:23,8770,"FatRatio",-3,8.77
"336",2017-03-30 06:18:23,7402,"FatMass",-3,7.402
"337",2017-03-29 06:06:58,84527,"Weight",-3,84.527
"338",2017-03-29 06:06:58,77210,"FatFree",-3,77.21
"339",2017-03-29 06:06:58,8656,"FatRatio",-3,8.656
"340",2017-03-29 06:06:58,7317,"FatMass",-3,7.317
"341",2017-03-28 06:13:03,84033,"Weight",-3,84.033
"342",2017-03-28 06:13:03,76181,"FatFree",-3,76.181
"343",2017-03-28 06:13:03,9344,"FatRatio",-3,9.344
"344",2017-03-28 06:13:03,7852,"FatMass",-3,7.852
"345",2017-03-27 06:28:12,82907,"Weight",-3,82.907
"346",2017-03-27 06:28:12,74816,"FatFree",-3,74.816
"347",2017-03-27 06:28:12,9759,"FatRatio",-3,9.759
"348",2017-03-27 06:28:12,8091,"FatMass",-3,8.091
"349",2017-03-26 07:19:34,83193,"Weight",-3,83.193
"350",2017-03-26 07:19:34,74534,"FatFree",-3,74.534
"351",2017-03-26 07:19:34,10409,"FatRatio",-3,10.409
"352",2017-03-26 07:19:34,8659,"FatMass",-3,8.659
"353",2017-03-25 06:22:59,84053,"Weight",-3,84.053
"354",2017-03-25 06:22:59,76047,"FatFree",-3,76.047
"355",2017-03-25 06:22:59,9525,"FatRatio",-3,9.525
"356",2017-03-25 06:22:59,8006,"FatMass",-3,8.006
"357",2017-03-24 06:47:19,83968,"Weight",-3,83.968
"358",2017-03-24 06:47:19,75812,"FatFree",-3,75.812
"359",2017-03-24 06:47:19,9713,"FatRatio",-3,9.713
"360",2017-03-24 06:47:19,8156,"FatMass",-3,8.156
"361",2017-03-23 06:05:08,84015,"Weight",-3,84.015
"362",2017-03-23 06:05:08,75883,"FatFree",-3,75.883
"363",2017-03-23 06:05:08,9679,"FatRatio",-3,9.679
"364",2017-03-23 06:05:08,8132,"FatMass",-3,8.132
"365",2017-03-22 05:59:06,84107,"Weight",-3,84.107
"366",2017-03-22 05:59:06,76026,"FatFree",-3,76.026
"367",2017-03-22 05:59:06,9609,"FatRatio",-3,9.609
"368",2017-03-22 05:59:06,8081,"FatMass",-3,8.081
"369",2017-03-21 05:58:41,84390,"Weight",-3,84.39
"370",2017-03-21 05:58:41,76750,"FatFree",-3,76.75
"371",2017-03-21 05:58:41,9054,"FatRatio",-3,9.054
"372",2017-03-21 05:58:41,7640,"FatMass",-3,7.64
"373",2017-03-20 06:13:07,85118,"Weight",-3,85.118
"374",2017-03-20 06:13:07,77120,"FatFree",-3,77.12
"375",2017-03-20 06:13:07,9397,"FatRatio",-3,9.397
"376",2017-03-20 06:13:07,7998,"FatMass",-3,7.998
"377",2017-03-19 06:57:18,85339,"Weight",-3,85.339
"378",2017-03-19 06:57:18,77131,"FatFree",-3,77.131
"379",2017-03-19 06:57:18,9618,"FatRatio",-3,9.618
"380",2017-03-19 06:57:18,8208,"FatMass",-3,8.208
"381",2017-03-18 06:21:39,84735,"Weight",-3,84.735
"382",2017-03-18 06:21:39,76926,"FatFree",-3,76.926
"383",2017-03-18 06:21:39,9216,"FatRatio",-3,9.216
"384",2017-03-18 06:21:39,7809,"FatMass",-3,7.809
"385",2017-03-17 06:06:05,84731,"Weight",-3,84.731
"386",2017-03-17 06:06:05,76727,"FatFree",-3,76.727
"387",2017-03-17 06:06:05,9446,"FatRatio",-3,9.446
"388",2017-03-17 06:06:05,8004,"FatMass",-3,8.004
"389",2017-03-16 05:56:48,85114,"Weight",-3,85.114
"390",2017-03-16 05:56:48,77416,"FatFree",-3,77.416
"391",2017-03-16 05:56:48,9044,"FatRatio",-3,9.044
"392",2017-03-16 05:56:48,7698,"FatMass",-3,7.698
"393",2017-03-15 06:08:41,84191,"Weight",-3,84.191
"394",2017-03-15 06:08:41,76454,"FatFree",-3,76.454
"395",2017-03-15 06:08:41,9190,"FatRatio",-3,9.19
"396",2017-03-15 06:08:41,7737,"FatMass",-3,7.737
