record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],
"854979855","626418897","159490966","256.31","60.200000000000045","2.734","100","145","61","22","0.0","60.200000000000045","2.734","0","0","0","0.0",
"854979856","626419232","159491069","259.49","60.200000000000045","2.874","100","145","91","21","0.5","60.200000000000045","2.874","0","0","0","0.0",
"854979857","626419562","159491158","262.6","60.200000000000045","3.135","100","145","91","21","0.5","60.200000000000045","3.135","0","0","0","0.0",
"854979858","626419874","159491269","265.58","60.200000000000045","3.144","100","145","90","21","0.0","60.200000000000045","3.144","0","0","0","0.0",
"854979859","626420150","159491433","268.32","60.200000000000045","3.135","100","145","90","21","0.0","60.200000000000045","3.135","0","0","0","0.0",
"854979860","626420437","159491622","271.2","60.200000000000045","2.986","100","146","90","21","0.0","60.200000000000045","2.986","0","0","0","0.0",
"854979861","626420725","159491837","274.15","60.200000000000045","2.893","100","145","89","21","0.0","60.200000000000045","2.893","0","0","0","0.0",
"854979862","626421007","159492077","277.11","60.200000000000045","2.902","100","145","89","21","0.0","60.200000000000045","2.902","0","0","0","0.0",
"854979863","626421306","159492308","280.2","60.200000000000045","2.939","100","145","89","21","0.0","60.200000000000045","2.939","0","0","0","0.0",
"854979864","626421587","159492548","283.15","60.200000000000045","2.967","100","145","89","21","0.0","60.200000000000045","2.967","0","0","0","0.0",
"854979865","626421848","159492757","285.85","60.200000000000045","2.986","100","145","90","21","0.0","60.200000000000045","2.986","0","0","0","0.0",
"854979866","626422118","159492936","288.57","60.200000000000045","2.986","100","144","90","21","0.0","60.200000000000045","2.986","0","0","0","0.0",
"854979867","626422346","159493065","290.82","60.0","2.893","100","144","90","21","0.0","60.0","2.893","0","0","0","0.0",
"854979913","626424017","159493930","291.69","60.0","0.0","100","128","61","20","0.0","60.0","0.0","0","0","0","0.0",
"854979914","626424185","159493937","293.25","60.0","0.009","100","128","61","20","0.0","60.0","0.009","0","0","0","0.0",
"854979915","626424455","159494070","295.88","60.0","0.047","100","127","61","20","0.0","60.0","0.047","0","0","0","0.0",
